κρατησ	κράτηση, η	预订	reservation	阴
λατρευ	λατρεύω	热爱，崇拜	to adore	动
συγκιν	συγκινώ	感动	to move (emotionally)	动
συνηθισμεν	συνηθισμένος, -η, -ο	习惯了的；平常的	used to; usual	形
καταφερ	καταφέρνω	做到，成功	to manage; to succeed	动
δυναμ	δύναμη, η	力量	strength; power	阴
κουλτουρ	κουλτούρα, η	文化（修养）	culture	阴
απλω	απλώς	只是，仅仅	simply; just	副
συμμαθητρι	συμμαθήτρια, η	女同班同学	classmate (f)	阴
εδιωξαν	διώχνω	赶走；解雇	to send away; to fire	动
ωσπο	ώσπου	直到	until	连
ταμι	ταμίας, ο/η	出纳，收银员	cashier	阳
θεατρικ	θεατρικός, -ή, -ό	戏剧的	theatrical	形
απαντ	απαντάω	回答	to answer	动
κλασικ	κλασικός, -ή, -ό	经典的	classic	形
επαναλαβ	επαναλαμβάνω	重复	to repeat	动
εξωστ	εξώστης, ο	（剧院）楼座	balcony (theatre)	阳
σκηνοθεσ	σκηνοθεσία, η	导演（工作）	direction (film/stage)	阴
μυθιστορημ	μυθιστόρημα, το	长篇小说	novel	中
ενθουσιασ	ενθουσιάζω	使兴奋（ενθουσιάζομαι 激动）	to excite	动
