οικονομικ	οικονομικός, -ή, -ό	经济的；便宜的	economic; cheap	形
τηλεθεατ	τηλεθεατής, ο	电视观众	TV viewer	阳
επηρεαζ	επηρεάζω	影响	to influence	动
δολαρ	δολάριο, το	美元	dollar	中
σεναρι	σενάριο, το	剧本	script; scenario	中
βιολιστ	βιολιστής, ο	小提琴手	violinist	阳
οικοδομ	οικοδομή, η	建筑工地	building site	阴
καροτσ	καρότσι, το	手推车；婴儿车	trolley; pram	中
τυροπιτ	τυρόπιτα, η	奶酪派	cheese pie	阴
χωρεσ	χωράω	容纳，装得下	to fit	动
επαναληψ	επανάληψη, η	重复；复习	repetition; revision	阴
χαμηλων	χαμηλώνω	调低，降低	to lower	动
πηγη	πηγή, η	来源；泉	source; spring	阴
πληροφορησ	πληροφόρηση, η	信息传播	information	阴
καλλιτεχνικ	καλλιτεχνικός, -ή, -ό	艺术的	artistic	形
σλογκαν	σλόγκαν, το	口号	slogan	中
ντισκ	ντίσκο, η	迪厅	disco	阴
μπουζουκ	μπουζούκια, τα	布祖基音乐夜场	bouzouki night club	复
γεωργιαν	γεωργιανός, -ή, -ό	格鲁吉亚的	Georgian	形
στεκ	στέκι, το	常去的地方	hangout	中
