καταγμ	κάταγμα, το	骨折	fracture	中
αναρρωτικ	αναρρωτικός, -ή, -ό	病假的（αναρρωτική άδεια 病假）	sick (leave)	形
μηχαν	μηχανή, η	机器；摩托车	machine; motorbike	阴
οδηγησ	οδήγηση, η	驾驶	driving	阴
οδηγ	οδηγώ	开车；引导	to drive; to lead	动
λιγοτερ	λιγότερο	更少	less	副
συνηθιζ	συνηθίζω	习惯于	to be used to	动
παραξεν	παράξενος, -η, -ο	奇怪的	strange	形
καπνιζ	καπνίζω	吸烟	to smoke	动
προσεξ	προσέχω	注意，小心	to pay attention; to be careful	动
κυκλοφορι	κυκλοφορία, η	交通；流通	traffic; circulation	阴
ολοκληρ	ολόκληρος, -η, -ο	整个的	whole	形
εσπασ	σπάω	弄断，打碎	to break	动
νεκρ	νεκρός, -ή, -ό	死的；（名）死者	dead	形
προερχ	προέρχομαι	来自，源于	to come from	动
μικροτερ	μικρότερος, -η, -ο	更小的	smaller	形
παραλληλ	παράλληλα	同时；平行地	at the same time	副
ατυχη	ατύχημα, το	事故	accident	中
κραν	κράνος, το	头盔	helmet	中
θανατ	θάνατος, ο	死亡	death	阳
αδυνατον	αδύνατον	不可能	impossible	
σεισμ	σεισμός, ο	地震	earthquake	阳
οδικ	οδικός, -ή, -ό	道路的（οδική ασφάλεια 道路安全）	road (adj)	形
παραλιγ	παραλίγο	差点儿	almost; nearly	副
στραβ	στραβός, -ή, -ό	歪的（στραβά 错误地）	crooked; wrong	形
αποκλει	αποκλείεται	不可能，没门	no way; it's impossible	动
γιαπωνεζικ	γιαπωνέζικος, -η, -ο	日本的	Japanese	形
πλειοψηφ	πλειοψηφία, η	多数	majority	阴
μειωσ	μείωση, η	减少	reduction	阴
τσιγαρ	τσιγάρο, το	香烟	cigarette	中
αισθανεστ	αισθάνομαι	感觉	to feel	动
διασταυρωσ	διασταύρωση, η	十字路口	junction	阴
επειγοντ	επείγων, -ουσα, -ον	紧急的（τα επείγοντα 急诊）	urgent; emergency	形
παυσιπον	παυσίπονο, το	止痛药	painkiller	中
τραυματιζ	τραυματίζομαι	受伤	to be injured	动
φλας	φλας, το	转向灯	indicator	中
λωριδ	λωρίδα, η	车道	lane	阴
σκοτωσ	σκοτώνω	杀死	to kill	动
κορναρ	κορνάρω	按喇叭	to honk	动
πεζο	πεζός, ο	行人	pedestrian	阳
ακτινογραφ	ακτινογραφία, η	X光片	X-ray	阴
ζαλιζ	ζαλίζομαι	头晕	to feel dizzy	动
τραυματι	τραυματίας, ο	伤者	casualty	阳
μεθυσμεν	μεθυσμένος, -η, -ο	喝醉的	drunk	形
σηματ	σήμα, το	标志；信号	sign; signal	中
προσπερν	προσπερνάω	超车	to overtake	动
