αεροπορικ	αεροπορικός, -ή, -ό	航空的（αεροπορικά εισιτήρια 机票）	air (adj)	形
οποι	όποιος, -α, -ο	无论谁	whoever	
εξηγησ	εξηγώ	解释	to explain	动
μεταναστ	μετανάστης, ο	移民	immigrant	阳
επιτρεπ	επιτρέπεται	允许（做…）	it is allowed	动
ελαφρ	ελαφρύς, -ιά, -ύ	轻的	light (weight)	形
διπλωμ	δίπλωμα, το	驾照；文凭	licence; diploma	中
κτλ	κ.τ.λ.	等等	etc.	
οποτ	οπότε	所以（όποτε 每当）	so; whenever	连
απολυτ	απόλυτος, -η, -ο	绝对的	absolute	形
θυμωμεν	θυμωμένος, -η, -ο	生气的	angry	形
δικαιω	δικαίωμα, το	权利	right	中
επιβατ	επιβάτης, ο	乘客	passenger	阳
κατοικι	κατοικία, η	住所	residence	阴
τροχονομ	τροχονόμος, ο	交警	traffic warden	阳
ενοικιαστ	ενοικιαστής, ο	租客	tenant	阳
ελεγκτ	ελεγκτής, ο	查票员；稽查	inspector	阳
υποχρεωσ	υποχρέωση, η	义务	obligation	阴
υποχρεωμεν	υποχρεωμένος, -η, -ο	有义务的，不得不	obliged	形
δικτυ	δίκτυο, το	网络	network	中
προσφυγ	πρόσφυγας, ο	难民	refugee	阳
πιεστ	πιέζω	按，压（πιέστε 请按）	to press	动
κουμπ	κουμπί, το	按钮；纽扣	button	中
χρονικ	χρονικός, -ή, -ό	时间的（χρονικό διάστημα 时间段）	time (adj)	形
τελειωσαν	τελειώνω	结束，完成	to finish	动
προσφορ	προσφορά, η	特价；供应	offer; supply	阴
εγγυησ	εγγύηση, η	押金；保修	deposit; guarantee	阴
καλυμμ	κάλυμμα, το	罩，盖	cover	中
υπογραψ	υπογράφω	签字	to sign	动
βαψιμ	βάψιμο, το	粉刷；化妆	painting; make-up	中
