επιλογ	επιλογή, η	选择（名）	choice; option	阴
αυξησ	αύξηση, η	增长，上涨	increase; rise	阴
συγκοινων	συγκοινωνία, η	公共交通	public transport	阴
βολευ	βολεύω	方便，合适	to suit; to be convenient	动
κατευθυνσ	κατεύθυνση, η	方向	direction	阴
μεταφορ	μεταφορά, η	运输，搬运	transport	阴
καθω	καθώς	当…的时候；正如	as; while	连
κατεβ	κατεβαίνω	下车，下来	to get off; to go down	动
σουπερ	σούπερ μάρκετ, το	超市	supermarket	中
βρε	βρε	喂，嘿（口语呼语）	hey (colloquial)	
μεγαλυτερ	μεγαλύτερος, -η, -ο	更大的（μεγάλος 比较级）	bigger; larger	形
παρκαρ	παρκάρω	停车	to park	动
τονιζ	τονίζω	强调；（给音节）标重音	to stress	动
τετοι	τέτοιος, -α, -ο	这样的，如此的	such	形
περασμεν	περασμένος, -η, -ο	过去的（την περασμένη βδομάδα 上周）	past; last	形
μαζικ	μαζικός, -ή, -ό	大众的（μαζική μεταφορά 公共交通）	mass (adj)	形
χρησιμοποιειτ	χρησιμοποιώ	使用	to use	动
τραμ	τραμ, το	有轨电车	tram	中
πεζοδρομ	πεζοδρόμιο, το	人行道	pavement; sidewalk	中
συνεχισ	συνεχίζω	继续	to continue	动
χτυπησ	χτυπάω	撞；敲；（电话）响	to hit; to ring	动
φοβατ	φοβάμαι	害怕	to be afraid	动
υπουργει	Υπουργείο, το	（政府）部	Ministry	中
επικινδυν	επικίνδυνος, -η, -ο	危险的	dangerous	形
ζωνταν	ζωντανός, -ή, -ό	活的；有活力的	alive; lively	形
υποστηριζ	υποστηρίζω	支持	to support	动
περιβαλλοντ	περιβάλλον, το	环境	environment	中
γυρισαν	γυρίζω	回来；转	to return; to turn	动
πρωτευ	πρωτεύουσα, η	首都	capital city	阴
προστιμ	πρόστιμο, το	罚款	fine	中
ευθε	ευθεία	直走；直线	straight ahead	
συνταγμ	Σύνταγμα, το	宪法；（雅典）宪法广场	Constitution; Syntagma Sq.	中
ταχυτητ	ταχύτητα, η	速度	speed	阴
πλακ	πλάκα, η	玩笑（κάνω πλάκα 开玩笑）	joke; fun	阴
καταστροφ	καταστροφή, η	灾难，破坏	disaster; destruction	阴
μεθαυρι	μεθαύριο	后天	the day after tomorrow	副
τρολ	τρόλεϊ, το	无轨电车	trolley bus	中
συγχωρειτ	συγχωρώ	原谅（με συγχωρείτε 对不起）	to forgive; excuse me	动
βενζιν	βενζίνη, η	汽油	petrol	阴
γωνι	γωνία, η	角；街角	corner; angle	阴
παρκινγκ	πάρκινγκ, το	停车场	car park	中
μεταφορικ	μεταφορικός, -ή, -ό	运输的（μεταφορικό μέσο 交通工具）	transport (adj)	形
κουραστικ	κουραστικός, -ή, -ό	累人的	tiring	形
βιαζ	βιάζομαι	赶时间，着急	to be in a hurry	动
κυκλοφοριακ	κυκλοφοριακός, -ή, -ό	交通的（κυκλοφοριακό πρόβλημα 交通问题）	traffic (adj)	形
ισχυ	ισχύω	有效，适用	to be valid	动
χρειαζεστ	χρειάζομαι	需要	to need	动
σταθμευσ	στάθμευση, η	停车（正式用语）	parking	阴
προχωρησ	προχωράω	前进，往前走	to go forward	动
τεχνικ	τεχνικός, -ή, -ό	技术的；（名）技师	technical; technician	形
εκλεψαν	κλέβω	偷	to steal	动
ορο	όρος, ο	条件；术语	term; condition	阳
προαστιακ	προαστιακός, ο	市郊铁路	suburban railway	阳
συμφερ	συμφέρει	划算，合算	to be worth it	动
τσιμεντ	τσιμέντο, το	水泥	cement	中
ταξιτζηδ	ταξιτζής, ο	出租车司机	taxi driver	阳
παρκαρισμεν	παρκαρισμένος, -η, -ο	停着的（车）	parked	形
εχασαν	χάνω	丢失；错过	to lose; to miss	动
εκατονταδ	εκατοντάδες	数百	hundreds	复
αντιμετωπιζ	αντιμετωπίζω	面对，应对	to face; to deal with	动
χρημ	χρήμα, το	钱（正式；复数 χρήματα）	money	中
δικυκλ	δίκυκλο, το	两轮车（摩托/自行车）	two-wheeler	中
απογευματιν	απογευματινός, -ή, -ό	下午的	afternoon (adj)	形
κιαλ	κιάλια, τα	望远镜	binoculars	复
μανταριν	μανταρίνι, το	橘子	tangerine	中
διοδ	διόδια, τα	过路费	tolls	复
μηνια	μηνιαίος, -α, -ο	每月的	monthly	形
επικυρωσ	επικυρώνω	（车票）打卡验证；认证	to validate	动
στριψ	στρίβω	拐弯	to turn	动
ασπιριν	ασπιρίνη, η	阿司匹林	aspirin	阴
ανακοινων	ανακοινώνω	宣布，通告	to announce	动
