βιας	βία, η	暴力	violence	阴
στολιζ	στολίζω	装饰	to decorate	动
παρελασ	παρέλαση, η	游行	parade	阴
νηστε	νηστεία, η	斋戒，禁食	fasting	阴
παραδοσ	παράδοση, η	传统；交付	tradition; delivery	阴
νηστευ	νηστεύω	守斋	to fast	动
μοναξ	μοναξιά, η	孤独	loneliness	阴
ραμαζαν	Ραμαζάνι, το	斋月	Ramadan	中
στρατιωτικ	στρατιωτικός, -ή, -ό	军事的	military	形
πετυχαιν	πετυχαίνω	成功；碰上	to succeed; to run into	动
διασκεδαστικ	διασκεδαστικός, -ή, -ό	有趣的	entertaining	形
μαθητικ	μαθητικός, -ή, -ό	学生的（μαθητική παρέλαση 学生游行）	student (adj)	形
χαρακτηριστικ	χαρακτηριστικός, -ή, -ό	典型的（το χαρακτηριστικό 特点）	characteristic	形
ονομαστικ	ονομαστική, η	主格（语法）	nominative	阴
κρισ	κρίση, η	危机；判断	crisis; judgement	阴
συζυγ	σύζυγος, ο/η	配偶	spouse	阳
εξαιτι	εξαιτίας	由于	because of	介
εντυπωσ	εντύπωση, η	印象	impression	阴
ψεματ	ψέματα, τα	谎话	lies	复
περιστατικ	περιστατικό, το	事件；病例	incident; case	中
πολεμ	πόλεμος, ο	战争	war	阳
δυση	δύση, η	西方；日落	west; sunset	阴
θεματ	θέμα, το	题目，问题	topic; issue	中
ενατ	ένατος, -η, -ο	第九	ninth	
εναντιον	εναντίον	反对	against	介
περιγραψ	περιγράφω	描述	to describe	动
καλεσμεν	καλεσμένος, ο	客人	guest	阳
καθηγητρ	καθηγήτρια, η	女教师	teacher (f)	阴
κυβερνησ	κυβέρνηση, η	政府	government	阴
μεσανυχτ	μεσάνυχτα, τα	午夜	midnight	复
ρατσ	ρατσισμός, ο	种族主义	racism	阳
θεος	θεός, ο	神，上帝	god	阳
μακιγιαζ	μακιγιάζ, το	化妆	make-up	中
δεκατ	δέκατος, -η, -ο	第十	tenth	
εβδομ	έβδομος, -η, -ο	第七	seventh	
εικοστ	εικοστός, -ή, -ό	第二十	twentieth	
ογδο	όγδοος, -η, -ο	第八	eighth	
αριθμητικ	αριθμητικά, τα	数词（语法）	numerals	复
τυπικ	τυπικός, -ή, -ό	典型的；形式上的	typical; formal	形
βασιλοπιτ	βασιλόπιτα, η	新年蛋糕（内藏硬币）	New Year cake	阴
ανημερ	ανήμερα	（节日）当天	on the very day	副
συγγεν	συγγενείς, οι	亲戚	relatives	复
εκατοστισ	«να τα εκατοστίσεις»	祝你活到一百岁（生日祝语）	many happy returns	
φυλων	φύλο, το	性别	gender; sex	中
αδεσποτ	αδέσποτος, -η, -ο	流浪的（αδέσποτα ζώα 流浪动物）	stray	形
κουραμπιεδ	κουραμπιές, ο	库拉比耶（圣诞杏仁饼）	kourabies (Xmas cookie)	阳
μελομακαρον	μελομακάρονο, το	蜜糖饼（圣诞点心）	melomakarono	中
φλουρ	φλουρί, το	（蛋糕里的）幸运币	lucky coin	中
χαρταετ	χαρταετός, ο	风筝	kite	阳
λαγαν	λαγάνα, η	洁净星期一薄饼	lagana bread	阴
υπερ	υπέρ	支持，赞成	in favour of	介
μουσουλμαν	μουσουλμάνος, ο	穆斯林	Muslim	阳
οικογενειακω	οικογενειακώς	全家一起	as a family	副
μαγειριτσ	μαγειρίτσα, η	复活节羊杂汤	magiritsa soup	阴
αιων	αιώνας, ο	世纪	century	阳
ενδεκατ	ενδέκατος, -η, -ο	第十一	eleventh	
δωδεκατ	δωδέκατος, -η, -ο	第十二	twelfth	
ανεξαρτησι	ανεξαρτησία, η	独立	independence	阴
ισοτητ	ισότητα, η	平等	equality	阴
