απολυτηρι	απολυτήριο, το	毕业证书	school-leaving certificate	中
πολιτικ	πολιτικός, -ή, -ό	政治的（η πολιτική 政策）	political; policy	形
θορυβ	θόρυβος, ο	噪音	noise	阳
σχολικ	σχολικός, -ή, -ό	学校的	school (adj)	形
νομο	νόμος, ο	法律	law	阳
σηκων	σηκώνω	举起（σηκώνομαι 起床）	to lift; to get up	动
εκπαιδευτικ	εκπαιδευτικός, -ή, -ό	教育的；（名）教师	educational; teacher	形
ρεπορταζ	ρεπορτάζ, το	报道	report	中
κριν	κρίνω	判断，评价	to judge	动
επαγγελματικ	επαγγελματικός, -ή, -ό	职业的	professional	形
βαρετ	βαρετός, -ή, -ό	无聊的	boring	形
συναισθη	συναίσθημα, το	情感	feeling; emotion	中
συστημ	σύστημα, το	系统，制度	system	中
κλητικ	κλητική, η	呼格（语法）	vocative	阴
φρικ	φρίκη, η	恐怖（口语：太糟了）	horror	阴
συζητ	συζητάω	讨论	to discuss	动
υποχρεωτικ	υποχρεωτικός, -ή, -ό	义务的，必修的	compulsory	形
λυνετ	λύνω	解决；解开	to solve; to untie	动
τευχ	τεύχος, το	（杂志）期，册	issue	中
ξυριζ	ξυρίζομαι	刮胡子	to shave	动
δευτεροβαθμ	δευτεροβάθμιος, -α, -ο	中等教育的	secondary (education)	形
δισεκατομμυρ	δισεκατομμύριο, το	十亿	billion	中
δημοτικ	Δημοτικό, το	小学	primary school	中
