ιδιοκτητ	ιδιοκτήτης, ο	房东，业主	owner; landlord	阳
ιδιοκτητρ	ιδιοκτήτρια, η	女房东，女业主	owner; landlady	阴
ζημι	ζημιά, η	损坏；损失	damage; loss	阴
μετακομισ	μετακομίζω	搬家	to move house	动
υδραυλικ	υδραυλικός, ο	水管工	plumber	阳
συμβολαι	συμβόλαιο, το	合同	contract	中
κοντευ	κοντεύω	快要，接近	to be about to	动
υγρασ	υγρασία, η	潮湿，湿气	humidity; damp	阴
σαν	σαν	像；当作	like; as	连
μαλιστ	μάλιστα	是的；的确	yes indeed	副
απλη	απλός, -ή, -ό	简单的	simple	形
δικι	δίκιο, το	理（έχω δίκιο 有道理）	being right	中
φτην	φτηνός, -ή, -ό	便宜的	cheap	形
λειψ	λείπω	缺席，不在；想念	to be missing; to be away	动
φοιτητρ	φοιτήτρια, η	女大学生	student (f)	阴
αντιστοιχιζ	αντιστοιχίζω	配对，对应（练习指令）	to match	动
σημει	σημείο, το	点；地方	point; spot	中
επαθ	παθαίνω	遭遇，出（事）	to suffer; to undergo	动
εως	έως	直到	until; up to	介
ενιωσ	νιώθω	感觉	to feel	动
προσφατ	πρόσφατος, -η, -ο	最近的	recent	形
ζωα	ζώο, το	动物	animal	中
δημοκρατι	δημοκρατία, η	民主；共和国	democracy; republic	阴
κοστισ	κοστίζω	花费，值（多少钱）	to cost	动
ταυτ	ταυτότητα, η	身份证；身份	ID card; identity	阴
φορτηγ	φορτηγό, το	卡车	truck	中
χαιρετισ	χαιρετίσματα, τα	问候，代问好	regards	复
επιλεξ	επιλέγω	选择	to choose	动
συνεχω	συνεχώς	不断地，一直	continuously	副
υποθεσ	υπόθεση, η	事情；假设	matter; assumption	阴
σπιτακ	σπιτάκι, το	小房子（爱称）	little house	中
συμφωνησ	συμφωνώ	同意	to agree	动
επισκευαζ	επισκευάζω	修理	to repair	动
επισκευ	επισκευή, η	修理，维修（名）	repair	阴
διαμερισ	διαμέρισμα, το	公寓	flat; apartment	中
συγκατοικησ	συγκατοίκηση, η	合租，同住	flat-sharing	阴
γλιτωσ	γλιτώνω	省下；躲过	to save; to escape	动
εκοψαν	κόβω	切；剪；停掉	to cut; to cut off	动
κοινοχρηστ	κοινόχρηστα, τα	公摊费（水电物业）	shared building expenses	复
εγκαιρ	έγκαιρα	及时地	in time	副
ιση	ίσος, -η, -ο	相等的	equal	形
οργανωμεν	οργανωμένος, -η, -ο	有条理的，组织好的	organised	形
τακτοποιησ	τακτοποιώ	整理，安顿	to tidy up; to settle	动
συμπαθητικ	συμπαθητικός, -ή, -ό	讨人喜欢的	likeable; nice	形
κανον	κανόνας, ο	规则	rule	阳
κοιν	κοινός, -ή, -ό	共同的（το κοινό 公众）	common; the public	形
εαν	εάν	如果（正式）	if (formal)	连
ηλεκτρολογ	ηλεκτρολόγος, ο	电工	electrician	阳
μαστορ	μάστορας, ο	师傅，工匠	craftsman; handyman	阳
πακεταρισμ	πακετάρισμα, το	打包	packing	中
κουβαλημ	κουβάλημα, το	搬运	hauling; carrying	中
μοιραζ	μοιράζομαι	分享，合用	to share	动
αρμονικ	αρμονικός, -ή, -ό	和谐的	harmonious	形
ιδανικ	ιδανικός, -ή, -ό	理想的	ideal	形
βεβαιω	βεβαίως	当然，没问题	certainly	副
αμαν	αμάν	哎呀；受不了了（口语）	oh come on!	
