στασ	στάση, η	车站；立场，态度	stop; attitude	阴
καποιον	κάποιος, -α, -ο	某人，某个	someone	
πιστωτικ	πιστωτικός, -ή, -ό	信贷的（πιστωτική κάρτα 信用卡）	credit (adj)	形
σταδιοδρομ	σταδιοδρομία, η	职业生涯	career	阴
εκτο	εκτός	除…之外	except; outside	介
ασε	άσε	算了，别提了（口语）	forget it; let it be	
δυνατον	δυνατόν	可能的（όσο το δυνατόν 尽可能）	possible	
οριστ	ορίστε	给您；请讲；您说什么	here you are; pardon?	
καφενει	καφενείο, το	（希腊传统）咖啡馆	traditional café	中
χαμο	χαμός, ο	一团糟，乱哄哄	chaos; commotion	阳
σχεσ	σχέση, η	关系	relationship	阴
αντωνυμι	αντωνυμία, η	代词（语法）	pronoun	阴
ετων	έτος, το	年；(ετών) …岁	year; …years old	中
λεγετ	λέγεται	被称作；据说	is called; it is said	动
βλαπτ	βλάπτω	损害，有害于	to harm	动
απεργ	απεργία, η	罢工	strike	阴
φιλακ	φιλάκια, τα	亲亲（书信结尾用语）	kisses (sign-off)	复
κανονιζ	κανονίζω	安排，约定	to arrange	动
ποσοστ	ποσοστό, το	百分比，比例	percentage	中
μαθητρ	μαθήτρια, η	女学生	schoolgirl	阴
κριμ	κρίμα	可惜	what a pity	
ρημα	ρήμα, το	动词（语法）	verb	中
ξαδελφ	ξάδελφος, ο	表（堂）兄弟	cousin	阳
φωνηεν	φωνήεν, το	元音（语法）	vowel	中
μηνυ	μήνυμα, το	消息，留言	message	中
εκατομμυρ	εκατομμύριο, το	百万	million	中
περαστ	περάστε	请进	come in	
μπαταρ	μπαταρία, η	电池	battery	阴
αιτιατικ	αιτιατική, η	宾格（语法）	accusative	阴
τσεπ	τσέπη, η	口袋	pocket	阴
φωναξ	φωνάζω	喊；叫（某人）	to shout; to call	动
ουσιαστικ	ουσιαστικό, το	名词（语法）	noun	中
ηχο	ήχος, ο	声音	sound	阳
επιθετ	επίθετο, το	形容词（语法）；姓	adjective; surname	中
χαιρετησ	χαιρετάω	问候，打招呼	to greet	动
δημιουργ	δημιουργώ	创造；造成	to create; to cause	动
καρκιν	καρκίνος, ο	癌症	cancer	阳
οδου	οδός, η	街道（正式用语）	street (formal)	阴
προεδρ	πρόεδρος, ο	主席；总统	president; chairman	阳
λεωφορ	λεωφόρος, η	大道	avenue	阴
μανι	μανία, η	狂热，癖好	mania; craze	阴
τηλεφωνητ	τηλεφωνητής, ο	电话答录机	answering machine	阳
επιστημον	επιστήμονας, ο	科学家	scientist	阳
ακτινοβολ	ακτινοβολία, η	辐射	radiation	阴
αυτο	αυτόματος, -η, -ο	自动的	automatic	形
συντομοτερ	συντομότερα	更快地；尽快	sooner; as soon as possible	副
ξαναπαρ	ξαναπαίρνω	再打一次（电话）	to call back	动
ακουστικ	ακουστικό, το	听筒；(复)耳机	receiver; headphones	中
σχολ	Σχολή, η	（大学）学院，系	faculty; school	阴
